amount,status,channel,location,account_id,balance_after,merchant_name,transaction_id,transaction_date,transaction_time,transaction_type,merchant_category
5000000,Completed,ATM,Jakarta,1,10750000,,1,2024-11-01,09:15:23,Deposit,-
1000000,Completed,ATM,Jakarta,1,9750000,,2,2024-11-03,14:30:45,Withdrawal,-
500000,Completed,Mobile Banking,Jakarta,2,8000000,,3,2024-11-03,10:20:15,Transfer Out,-
500000,Completed,Mobile Banking,Jakarta,3,12800000,,4,2024-11-03,10:21:30,Transfer In,-
150000,Completed,Debit Card,Jakarta,1,9600000,Indomaret,5,2024-11-05,16:45:00,Payment,Retail
2000000,Completed,Branch,Yogyakarta,4,27600000,,6,2024-11-05,08:30:00,Deposit,-
500000,Completed,ATM,Bandung,6,18400000,,7,2024-11-06,11:20:30,Withdrawal,-
250000,Completed,Debit Card,Surabaya,8,9550000,Alfamart,8,2024-11-06,13:45:15,Payment,Retail
3000000,Completed,Branch,Semarang,10,45500000,,9,2024-11-07,09:00:00,Deposit,-
500000,Completed,Internet Banking,Surabaya,12,35200000,Tokopedia,10,2024-11-07,15:30:00,Payment,E-commerce
75000,Completed,Debit Card,Jakarta,1,9525000,Starbucks,11,2024-11-08,10:15:00,Payment,Food & Beverage
1000000,Completed,ATM,Medan,14,13200000,,12,2024-11-08,14:20:00,Withdrawal,-
2000000,Completed,ATM,Tangerang,16,24800000,,13,2024-11-09,11:30:00,Deposit,-
300000,Completed,Internet Banking,Bandung,19,30900000,Shopee,14,2024-11-09,16:45:00,Payment,E-commerce
5000000,Completed,Branch,Palembang,22,33400000,,15,2024-11-10,09:00:00,Deposit,-
2000000,Completed,Mobile Banking,Jakarta,1,7525000,,16,2024-11-10,12:30:00,Transfer Out,-
2000000,Completed,Mobile Banking,Bandung,6,20400000,,17,2024-11-10,12:31:15,Transfer In,-
1500000,Completed,ATM,Solo,25,28400000,,18,2024-11-11,10:00:00,Deposit,-
2000000,Completed,ATM,Jakarta,30,46500000,,19,2024-11-11,14:15:00,Withdrawal,-
200000,Completed,Debit Card,Jakarta,1,7325000,Shell,20,2024-11-12,08:45:00,Payment,Fuel
450000,Completed,Debit Card,Surabaya,8,9100000,Gramedia,21,2024-11-12,11:20:00,Payment,Retail
2000000,Completed,Branch,Bandung,36,35400000,,22,2024-11-13,09:30:00,Deposit,-
1000000,Completed,Mobile Banking,Jakarta,1,6325000,,23,2024-11-13,15:00:00,Transfer Out,-
1000000,Completed,Mobile Banking,Surabaya,12,36200000,,24,2024-11-13,15:01:20,Transfer In,-
1000000,Completed,ATM,Yogyakarta,4,26600000,,25,2024-11-14,10:15:00,Withdrawal,-
